Name,x (pix),y (pix),X (m),Y (m),Orientation,URL,Redirect URL,Notes
ComputerVisionLab,2834,623,25.7808,3.1816,E,http://www.cs.rit.edu/~robotlab/ComputerVisionLab,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
BreakOutRoom4,601,738,-47.4616,-0.5904,W,http://www.cs.rit.edu/~robotlab/BreakOutRoom4,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
BreakOutRoom3,602,617,-47.4288,3.3784,W,http://www.cs.rit.edu/~robotlab/BreakOutRoom3,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
BreakOutRoom2,602,496,-47.4288,7.3472,W,http://www.cs.rit.edu/~robotlab/BreakOutRoom2,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
Room3441,2232,652,6.0352,2.2304,W,http://www.cs.rit.edu/~robotlab/Room3441,https://www.cs.rit.edu/resources/computing/admins,
Room3440,2288,724,7.872,-0.1312,E,http://www.cs.rit.edu/~robotlab/Room3440,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
Room3430,2512,320,15.2192,13.12,N,http://www.cs.rit.edu/~robotlab/Room3430,https://www.cs.rit.edu/resources/computing/admins,
Room3684,537,760,-49.5608,-1.312,E,http://www.cs.rit.edu/~robotlab/Room3684,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
Room3688,537,634,-49.5608,2.8208,E,http://www.cs.rit.edu/~robotlab/Room3688,http://www.cs.rit.edu/~rlc,
Room113,3145,233,35.9816,15.9736,S,http://www.cs.rit.edu/~robotlab/Room113,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
Room595,2576,950,17.3184,-7.544,S,http://www.cs.rit.edu/~robotlab/Room595,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
Room4000,2674,950,20.5328,-7.544,S,http://www.cs.rit.edu/~robotlab/Room4000,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
