Name,x (pix),y (pix),X (m),Y (m),Orientation,URL,Redirect URL,Notes
Room3441,2232,652,73.2096,25.8464,E,http://bit.ly/1q4gOlZ,https://www.cs.rit.edu/resources/computing/admins,
Room3440,2288,724,75.0464,23.4848,W,http://bit.ly/1q4gLqa,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
Room3430,2512,320,82.3936,36.736,N,http://bit.ly/1q4gLGJ,https://www.cs.rit.edu/resources/computing/admins,
Room3684,537,760,17.6136,22.304,E,http://bit.ly/1qkCNY2,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
Room3688,537,634,17.6136,26.4368,E,http://bit.ly/1qkCPz6,http://www.cs.rit.edu/~rlc,
Room113,3145,233,103.156,39.5896,S,http://bit.ly/1qkCPPu,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
Room595,2576,950,84.4928,16.072,S,http://bit.ly/1qkCNXW,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
Room4000,2674,950,87.7072,16.072,S,http://bit.ly/1qkCNXZ,http://www.cs.rit.edu/~robotlab/corobots/barcodes.html,
TestRobotLab1,2616,435,85.8048,32.964,E,http://bit.ly/1q4gOlP,,
TestRobotLab2,2795,438,91.676,32.8656,W,http://bit.ly/1q4gOlL,,
Stair2OppNorthRight,530,328,17.384,36.4736,N,http://bit.ly/1q4gLqc,,
Kitchen3572OppEastTop,540,338,17.712,36.1456,E,http://bit.ly/1q4gO5q,,
Ofc3675OppSouthRight,528,950,17.3184,16.072,S,http://bit.ly/1q4gLGN,,
BreakOut5OppEastBottom,539,939,17.6792,16.4328,E,http://bit.ly/1q4gLGD,,
Breakout5WestMid,603,877,19.7784,18.4664,W,http://bit.ly/1q4gOCc,,
Kitchen3572Gate,604,421,19.8112,33.4232,W,http://bit.ly/1q4gOlM,,
Breakout1Gate,732,326,24.0096,36.5392,N,http://bit.ly/1q4gLqb,,
Breakout5Gate,730,953,23.944,15.9736,S,http://bit.ly/1qkCPz4,,
Class3435N,2841,1015,93.1848,13.94,N,http://bit.ly/1q4gLqh,,
Class3435S,2613,1015,85.7064,13.94,N,http://bit.ly/1q4gO5r,,
Class3445,2358,1014,77.3424,13.9728,N,http://bit.ly/1q4gOCe,,
Class3455,2106,1014,69.0768,13.9728,N,http://bit.ly/1q4gLqd,,
Pres3410SouthRight,2780,951,91.184,16.0392,S,http://bit.ly/1qkCPz8,,
DSL3600EastBottom,2232,939,73.2096,16.4328,E,http://bit.ly/1q4gO5t,,
TechArea3450SouthLeft,2296,950,75.3088,16.072,S,http://bit.ly/1q4gLGC,,
Lab3400EastMid,2836,638,93.0208,26.3056,E,http://bit.ly/1q4gLq9,,
MacRoom3430NorthLeft,2296,326,75.3088,36.5392,N,http://bit.ly/1q4gLGx,,
MacRoom3430NorthLeftMid,2398,322,78.6544,36.6704,N,http://bit.ly/1qkCNXX,,
MacRoom3430WestTop,2287,338,75.0136,36.1456,W,http://bit.ly/1q4gLqj,,
Lab3500NorthRight,2225,327,72.98,36.5064,N,http://bit.ly/1q4gOlK,,
ElevOpp3405,2628,233,86.1984,39.5896,S,http://bit.ly/1qkCPz7,,
Lab3405EastMidMid,2782,388,91.2496,34.5056,E,http://bit.ly/1q4gOCf,,
Pres3410EastMid,2793,831,91.6104,19.9752,E,http://bit.ly/1q4gOlV,,
Stor3M17Middle,2945,234,96.596,39.5568,S,http://bit.ly/1qkD0dH,,
RightPillarStair5E,3209,342,105.2552,36.0144,E,http://bit.ly/1q4gXFN,,
